#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'F','000000','DR-300','PTFW','PTW','Y','Y'
'F','000002','LS-6 18','OY-XRG','G2','Y','Y'
'F','000075','','','','Y','N'
'F','0000FD','Taurus','F-JRDN','DN','Y','Y'
'F','000296','ASW-24','OM-0296','CK','Y','Y'
'F','000338','Unknown','','','Y','Y'
'F','000933','Ventus 2bx','OH-933','KX3','Y','Y'
'F','001571','Mooney','DENWU','','Y','Y'
'F','002765','','','','N','N'
'F','002787','','','','N','N'
'F','002814','','','','N','N'
'F','002972','LS-4','D-9657','EMU','Y','Y'
'F','003191','Ventus ct','G-CJKY','243','Y','Y'
'F','003733','Nimbus 3','VH-ZBV','BV','Y','Y'
'F','003998','LAK-17 AT','','','Y','Y'
'F','004701','','','','N','N'
'F','004702','','','','N','N'
'F','006203','','','','N','N'
'I','009181','JS-1 B Revelation','ZS-GPS','GPS','Y','Y'
'F','00BB11','','','','N','N'
'F','00F8D7','ASW-15','OM-1615','TZ','Y','Y'
'O','01542C','Baloon','D-????','','Y','Y'
'I','025983','Nimbus 2 C','D-8747','','Y','Y'
'F','033915','LAK-17 AT','D-KGPC','PC','Y','Y'
'F','050891','LS-8 18','HB-3352','EY','Y','Y'
'O','066015','Z-226 trener','OK-MPB','226','Y','Y'
'F','0D7503','L-Spatz 55','D-7503','','Y','Y'
'F','12A15F','ASW-15','PH-1140','C3','Y','Y'
'F','1D2FF3','Mosquito','VH-FQC','','Y','Y'
'O','1E411D','SZD-51 Junior','SP-3505','','Y','Y'
'O','22314D','SZD-48-1 Jantar Std 2','SP-3195','AKR','Y','Y'
'O','254342','UFO','Test','TST','Y','Y'
'O','263651','UFO','D-MUFO','UF','Y','Y'
'O','276E27','ASK-13','CHALLES','C-1','Y','Y'
'F','27C2BA','LS-6','LN-GHY','HY','Y','Y'
'O','27D916','Other','SP-','OP1','Y','Y'
'O','283819','Different Aircraft','T-SGB','','Y','Y'
'O','285C08','Ka-7','OK-1745','ZM2','Y','Y'
'O','28D376','UFO','LEMOI','','Y','Y'
'O','292433','Twin Astir I','I-TWYN','','Y','Y'
'O','29C622','UFO','EC-AC1','AC1','Y','Y'
